CustomerID,CustomerName,CustomerSurname,CustomerEmail,CustomerPhone,CustomerGeographyID
105,Dilara,Duran,werw@gmail.com,944842,45
123,Emre,Temel,dsafdsf@gmail.com,604335,44
456,Kemal,Derin,qwe@gmail.com,49172,48
491,Erkan,Duran,tdyuij@gmail.com,366063,14
492,Kemal,Terim,werw@gmail.com,807204,13
586,Hasan,Yanal,hgjhgfjhg@gmail.com,167689,13
605,Merve,Gider,try@gmail.com,942771,53
632,Emre,Bayrak,oopop@gmail.com,681271,33
661,Murat,Ziyagil,ruytyj@gmail.com,333545,44
735,Elif,Konak,tytr@gmail.com,173194,30
804,Erkan,Temel,tytr@gmail.com,165044,63
814,Hasan,Albayrak,try@gmail.com,837767,28
859,Arif,Albayrak,hgjhgfjhg@gmail.com,803331,30
906,Emre,Tatar,try@gmail.com,805631,18
978,Emre,Ziyagil,tdyuij@gmail.com,157740,74
1038,Kemal,Terim,tdyuij@gmail.com,211921,15
1151,Hasan,Ziyagil,frstyh@gmail.com,556492,3
1170,Elif,Gider,tytr@gmail.com,11444,67
1291,Mustafa,Derin,ruytyj@gmail.com,242988,16
1322,Berna,Konak,werw@gmail.com,55880,33
1333,Sinem,Ziyagil,rtrere@gmail.com,736153,8
1345,Murat,Han,iklhjk@gmail.com,58191,24
1359,Ahmet,Bircan,tdyuij@gmail.com,176059,33
1516,Kemal,Konak,wqerf@gmail.com,810821,12
1553,Erkan,Tatar,hgjhgfjhg@gmail.com,103007,53
1623,Arif,Han,tytr@gmail.com,40037,46
1664,Elif,Albayrak,werw@gmail.com,822608,12
1699,Hasan,Han,ruytyj@gmail.com,401049,37
1927,Mehmet,Karaman,try@gmail.com,224885,55
2019,Emre,Unsal,try@gmail.com,269915,56
2045,Mehmet,Tatar,werw@gmail.com,265152,62
2052,Dilara,Yanal,hgjhgfjhg@gmail.com,846600,44
2179,Kemal,Eren,ruytyj@gmail.com,896829,14
2426,Hasan,Unsal,oopop@gmail.com,28790,79
2518,Ahmet,Unsal,oopop@gmail.com,49748,7
2535,Erkan,Bayrak,wqerf@gmail.com,801183,61
2542,Hasan,Albayrak,iky@gmail.com,366196,21
2593,Mustafa,Bircan,hgjhgfjhg@gmail.com,378153,49
2625,Ali,Duran,werw@gmail.com,695104,76
2634,Kemal,Albayrak,werw@gmail.com,515661,2
2700,Berna,Derin,werw@gmail.com,351536,42
